       Step     Time          Energy          fmax
LBFGS:    0 12:34:24      -97.359890        0.616270
LBFGS:    1 12:34:24      -97.378257        0.594711
LBFGS:    2 12:34:24      -97.539032        0.612186
LBFGS:    3 12:34:24      -97.558745        0.206665
LBFGS:    4 12:34:24      -97.565798        0.271127
LBFGS:    5 12:34:24      -97.577437        0.382096
LBFGS:    6 12:34:24      -97.593969        0.415938
LBFGS:    7 12:34:25      -97.640698        0.301293
LBFGS:    8 12:34:25      -97.657302        0.189728
LBFGS:    9 12:34:25      -97.663613        0.164762
LBFGS:   10 12:34:25      -97.667094        0.132128
LBFGS:   11 12:34:25      -97.670134        0.101873
LBFGS:   12 12:34:25      -97.676413        0.117978
LBFGS:   13 12:34:25      -97.682555        0.097259
LBFGS:   14 12:34:25      -97.685914        0.076937
LBFGS:   15 12:34:25      -97.686839        0.068919
LBFGS:   16 12:34:25      -97.687424        0.058920
LBFGS:   17 12:34:25      -97.688403        0.056366
LBFGS:   18 12:34:25      -97.690173        0.059919
LBFGS:   19 12:34:25      -97.692351        0.048656
LBFGS:   20 12:34:26      -97.693715        0.041067
LBFGS:   21 12:34:26      -97.694032        0.028280
LBFGS:   22 12:34:26      -97.694156        0.024086
LBFGS:   23 12:34:26      -97.694409        0.021786
LBFGS:   24 12:34:26      -97.694856        0.026518
LBFGS:   25 12:34:26      -97.695503        0.028904
LBFGS:   26 12:34:26      -97.695999        0.021954
LBFGS:   27 12:34:26      -97.696233        0.022581
LBFGS:   28 12:34:26      -97.696306        0.024234
LBFGS:   29 12:34:26      -97.696406        0.023601
LBFGS:   30 12:34:26      -97.696598        0.019182
LBFGS:   31 12:34:26      -97.696832        0.015144
LBFGS:   32 12:34:26      -97.697004        0.012099
