       Step     Time          Energy          fmax
LBFGS:    0 12:34:53     -101.893452        0.655312
LBFGS:    1 12:34:53     -101.915265        0.638441
LBFGS:    2 12:34:54     -102.113852        0.608441
LBFGS:    3 12:34:54     -102.132231        0.243354
LBFGS:    4 12:34:54     -102.139923        0.310943
LBFGS:    5 12:34:54     -102.157645        0.402768
LBFGS:    6 12:34:54     -102.186899        0.411449
LBFGS:    7 12:34:54     -102.229209        0.243465
LBFGS:    8 12:34:54     -102.243291        0.213888
LBFGS:    9 12:34:54     -102.247992        0.187124
LBFGS:   10 12:34:54     -102.253162        0.133929
LBFGS:   11 12:34:54     -102.256582        0.107405
LBFGS:   12 12:34:54     -102.262064        0.115420
LBFGS:   13 12:34:54     -102.269850        0.095586
LBFGS:   14 12:34:55     -102.274833        0.097651
LBFGS:   15 12:34:55     -102.276452        0.086387
LBFGS:   16 12:34:55     -102.277122        0.078697
LBFGS:   17 12:34:55     -102.279697        0.046092
LBFGS:   18 12:34:55     -102.282043        0.059429
LBFGS:   19 12:34:55     -102.284365        0.060838
LBFGS:   20 12:34:55     -102.285234        0.039999
LBFGS:   21 12:34:55     -102.285500        0.027840
LBFGS:   22 12:34:55     -102.285714        0.031137
LBFGS:   23 12:34:55     -102.286300        0.034695
LBFGS:   24 12:34:55     -102.287134        0.031003
LBFGS:   25 12:34:55     -102.287864        0.028434
LBFGS:   26 12:34:55     -102.288189        0.030672
LBFGS:   27 12:34:56     -102.288340        0.029798
LBFGS:   28 12:34:56     -102.288510        0.026025
LBFGS:   29 12:34:56     -102.288847        0.023105
LBFGS:   30 12:34:56     -102.289354        0.028692
LBFGS:   31 12:34:56     -102.289803        0.023911
LBFGS:   32 12:34:56     -102.289994        0.025890
LBFGS:   33 12:34:56     -102.290082        0.023398
LBFGS:   34 12:34:56     -102.290175        0.018686
LBFGS:   35 12:34:56     -102.290365        0.016718
LBFGS:   36 12:34:56     -102.290604        0.015114
LBFGS:   37 12:34:56     -102.290790        0.015199
LBFGS:   38 12:34:56     -102.290868        0.015295
LBFGS:   39 12:34:57     -102.290907        0.012924
