       Step     Time          Energy          fmax
LBFGS:    0 12:34:31     -108.402232        0.535056
LBFGS:    1 12:34:31     -108.417313        0.519801
LBFGS:    2 12:34:31     -108.508720        0.749906
LBFGS:    3 12:34:31     -108.561731        0.205006
LBFGS:    4 12:34:32     -108.570782        0.251038
LBFGS:    5 12:34:32     -108.576441        0.297006
LBFGS:    6 12:34:32     -108.586972        0.317982
LBFGS:    7 12:34:32     -108.605395        0.254207
LBFGS:    8 12:34:32     -108.619840        0.129441
LBFGS:    9 12:34:32     -108.625087        0.114809
LBFGS:   10 12:34:32     -108.627339        0.087325
LBFGS:   11 12:34:32     -108.628280        0.069499
LBFGS:   12 12:34:32     -108.630046        0.060865
LBFGS:   13 12:34:32     -108.632859        0.056355
LBFGS:   14 12:34:32     -108.634921        0.055982
LBFGS:   15 12:34:33     -108.635794        0.052808
LBFGS:   16 12:34:33     -108.636142        0.046545
LBFGS:   17 12:34:33     -108.636482        0.038391
LBFGS:   18 12:34:33     -108.637052        0.028817
LBFGS:   19 12:34:33     -108.637782        0.027487
LBFGS:   20 12:34:33     -108.638368        0.030979
LBFGS:   21 12:34:33     -108.638573        0.023897
LBFGS:   22 12:34:33     -108.638631        0.018200
LBFGS:   23 12:34:33     -108.638758        0.017110
LBFGS:   24 12:34:33     -108.638988        0.017146
LBFGS:   25 12:34:33     -108.639267        0.014901
