       Step     Time          Energy          fmax
LBFGS:    0 07:33:15     -220.805201        0.285842
LBFGS:    1 07:33:15     -220.810378        0.270570
LBFGS:    2 07:33:15     -220.842547        0.192144
LBFGS:    3 07:33:15     -220.844480        0.138129
LBFGS:    4 07:33:15     -220.848322        0.138700
LBFGS:    5 07:33:15     -220.863538        0.152458
LBFGS:    6 07:33:15     -220.888182        0.277522
LBFGS:    7 07:33:16     -220.922741        0.569240
LBFGS:    8 07:33:16     -220.974472        0.760171
LBFGS:    9 07:33:16     -221.008347        0.607694
LBFGS:   10 07:33:16     -221.040044        0.405965
LBFGS:   11 07:33:16     -221.102370        0.523544
LBFGS:   12 07:33:16     -221.173730        0.356840
LBFGS:   13 07:33:16     -221.200305        0.351475
LBFGS:   14 07:33:16     -221.222776        0.296529
LBFGS:   15 07:33:16     -221.230652        0.243078
LBFGS:   16 07:33:16     -221.251002        0.217486
LBFGS:   17 07:33:16     -221.293046        0.185645
LBFGS:   18 07:33:16     -221.313606        0.313975
LBFGS:   19 07:33:16     -221.325231        0.292866
LBFGS:   20 07:33:16     -221.338858        0.238237
LBFGS:   21 07:33:16     -221.353627        0.288619
LBFGS:   22 07:33:16     -221.380625        0.282722
LBFGS:   23 07:33:16     -221.402497        0.326261
LBFGS:   24 07:33:17     -221.436553        0.229812
LBFGS:   25 07:33:17     -221.471912        0.233860
LBFGS:   26 07:33:17     -221.476890        0.171330
LBFGS:   27 07:33:17     -221.491151        0.145288
LBFGS:   28 07:33:17     -221.504859        0.137082
LBFGS:   29 07:33:17     -221.515285        0.165175
LBFGS:   30 07:33:17     -221.520942        0.181023
LBFGS:   31 07:33:17     -221.525571        0.157264
LBFGS:   32 07:33:17     -221.530682        0.105218
LBFGS:   33 07:33:17     -221.537466        0.124329
LBFGS:   34 07:33:17     -221.547992        0.119254
LBFGS:   35 07:33:17     -221.557099        0.145844
LBFGS:   36 07:33:18     -221.561688        0.142689
LBFGS:   37 07:33:18     -221.563827        0.121463
LBFGS:   38 07:33:18     -221.567112        0.103043
LBFGS:   39 07:33:18     -221.572207        0.118533
LBFGS:   40 07:33:18     -221.577834        0.092458
LBFGS:   41 07:33:18     -221.580968        0.081791
LBFGS:   42 07:33:18     -221.582382        0.072524
LBFGS:   43 07:33:18     -221.583272        0.060256
LBFGS:   44 07:33:18     -221.585449        0.051745
LBFGS:   45 07:33:18     -221.588251        0.053775
LBFGS:   46 07:33:18     -221.590495        0.058771
LBFGS:   47 07:33:18     -221.591514        0.062459
LBFGS:   48 07:33:18     -221.592112        0.053624
LBFGS:   49 07:33:18     -221.592840        0.044902
LBFGS:   50 07:33:18     -221.594437        0.053928
LBFGS:   51 07:33:19     -221.596408        0.047009
LBFGS:   52 07:33:19     -221.597918        0.059767
LBFGS:   53 07:33:19     -221.598706        0.062233
LBFGS:   54 07:33:19     -221.599323        0.055044
LBFGS:   55 07:33:19     -221.600345        0.044097
LBFGS:   56 07:33:19     -221.602144        0.048325
LBFGS:   57 07:33:19     -221.604283        0.045984
LBFGS:   58 07:33:19     -221.605811        0.060847
LBFGS:   59 07:33:19     -221.606559        0.058798
LBFGS:   60 07:33:19     -221.607220        0.048622
LBFGS:   61 07:33:19     -221.608136        0.033252
LBFGS:   62 07:33:19     -221.609424        0.032073
LBFGS:   63 07:33:20     -221.610522        0.029765
LBFGS:   64 07:33:20     -221.611056        0.031101
LBFGS:   65 07:33:20     -221.611273        0.028619
LBFGS:   66 07:33:20     -221.611546        0.023832
LBFGS:   67 07:33:20     -221.611975        0.018085
