       Step     Time          Energy          fmax
LBFGS:    0 07:33:49     -108.402193        0.535121
LBFGS:    1 07:33:49     -108.417276        0.519879
LBFGS:    2 07:33:49     -108.508691        0.750221
LBFGS:    3 07:33:49     -108.561594        0.204476
LBFGS:    4 07:33:49     -108.570609        0.251727
LBFGS:    5 07:33:49     -108.576207        0.297456
LBFGS:    6 07:33:49     -108.586605        0.318174
LBFGS:    7 07:33:49     -108.604631        0.253543
LBFGS:    8 07:33:50     -108.618444        0.126672
LBFGS:    9 07:33:50     -108.623368        0.111361
LBFGS:   10 07:33:50     -108.625271        0.084612
LBFGS:   11 07:33:50     -108.625961        0.068948
LBFGS:   12 07:33:50     -108.627281        0.053900
LBFGS:   13 07:33:50     -108.629090        0.045565
LBFGS:   14 07:33:50     -108.630198        0.047115
LBFGS:   15 07:33:50     -108.630577        0.043876
LBFGS:   16 07:33:50     -108.630714        0.039436
LBFGS:   17 07:33:50     -108.630853        0.033646
LBFGS:   18 07:33:50     -108.631162        0.021762
LBFGS:   19 07:33:50     -108.631496        0.024582
LBFGS:   20 07:33:50     -108.631755        0.023399
LBFGS:   21 07:33:50     -108.631837        0.017426
