       Step     Time          Energy          fmax
LBFGS:    0 12:34:50     -146.840269        0.343091
LBFGS:    1 12:34:51     -146.855947        0.333482
LBFGS:    2 12:34:51     -146.988976        0.214612
LBFGS:    3 12:34:51     -147.005799        0.107092
LBFGS:    4 12:34:51     -147.007903        0.100560
LBFGS:    5 12:34:51     -147.026999        0.098890
LBFGS:    6 12:34:51     -147.032358        0.099791
LBFGS:    7 12:34:51     -147.035730        0.093809
LBFGS:    8 12:34:51     -147.037680        0.088183
LBFGS:    9 12:34:51     -147.044980        0.086992
LBFGS:   10 12:34:51     -147.052083        0.080826
LBFGS:   11 12:34:51     -147.057492        0.049874
LBFGS:   12 12:34:51     -147.058906        0.038825
LBFGS:   13 12:34:52     -147.059744        0.038312
LBFGS:   14 12:34:52     -147.061100        0.043034
LBFGS:   15 12:34:52     -147.062607        0.041523
LBFGS:   16 12:34:52     -147.063678        0.033901
LBFGS:   17 12:34:52     -147.064149        0.027701
LBFGS:   18 12:34:52     -147.064390        0.023671
LBFGS:   19 12:34:52     -147.064750        0.018920
LBFGS:   20 12:34:52     -147.065350        0.026458
LBFGS:   21 12:34:52     -147.065923        0.025579
LBFGS:   22 12:34:52     -147.066227        0.018686
LBFGS:   23 12:34:52     -147.066365        0.015339
LBFGS:   24 12:34:52     -147.066524        0.018852
LBFGS:   25 12:34:52     -147.066810        0.021330
LBFGS:   26 12:34:52     -147.067215        0.021388
LBFGS:   27 12:34:53     -147.067563        0.019855
LBFGS:   28 12:34:53     -147.067743        0.017100
LBFGS:   29 12:34:53     -147.067850        0.019781
LBFGS:   30 12:34:53     -147.068027        0.021142
LBFGS:   31 12:34:53     -147.068322        0.020182
LBFGS:   32 12:34:53     -147.068658        0.015496
LBFGS:   33 12:34:53     -147.068865        0.012583
