       Step     Time          Energy          fmax
LBFGS:    0 12:34:36     -162.938503        0.678793
LBFGS:    1 12:34:36     -162.980392        0.639543
LBFGS:    2 12:34:36     -163.198393        0.403004
LBFGS:    3 12:34:36     -163.234173        0.270597
LBFGS:    4 12:34:36     -163.246626        0.220840
LBFGS:    5 12:34:36     -163.286590        0.167028
LBFGS:    6 12:34:36     -163.316484        0.209644
LBFGS:    7 12:34:36     -163.329716        0.233831
LBFGS:    8 12:34:36     -163.348766        0.223969
LBFGS:    9 12:34:36     -163.369106        0.236814
LBFGS:   10 12:34:37     -163.390846        0.248213
LBFGS:   11 12:34:37     -163.416759        0.209360
LBFGS:   12 12:34:37     -163.437594        0.176387
LBFGS:   13 12:34:37     -163.446326        0.172049
LBFGS:   14 12:34:37     -163.458270        0.163742
LBFGS:   15 12:34:37     -163.476597        0.203372
LBFGS:   16 12:34:37     -163.495383        0.190964
LBFGS:   17 12:34:37     -163.512273        0.126000
LBFGS:   18 12:34:37     -163.519679        0.134410
LBFGS:   19 12:34:37     -163.523775        0.125269
LBFGS:   20 12:34:38     -163.528023        0.102045
LBFGS:   21 12:34:38     -163.536701        0.096317
LBFGS:   22 12:34:38     -163.545314        0.091340
LBFGS:   23 12:34:38     -163.549609        0.101126
LBFGS:   24 12:34:38     -163.551863        0.099850
LBFGS:   25 12:34:38     -163.555583        0.081612
LBFGS:   26 12:34:38     -163.558931        0.068399
LBFGS:   27 12:34:38     -163.563122        0.053001
LBFGS:   28 12:34:38     -163.565994        0.076587
LBFGS:   29 12:34:39     -163.567720        0.081368
LBFGS:   30 12:34:39     -163.569274        0.075710
LBFGS:   31 12:34:39     -163.571524        0.061558
LBFGS:   32 12:34:39     -163.574848        0.062850
LBFGS:   33 12:34:39     -163.577508        0.050740
LBFGS:   34 12:34:39     -163.578961        0.059622
LBFGS:   35 12:34:39     -163.579796        0.056861
LBFGS:   36 12:34:39     -163.580961        0.048834
LBFGS:   37 12:34:39     -163.583095        0.047082
LBFGS:   38 12:34:39     -163.585763        0.045240
LBFGS:   39 12:34:39     -163.587654        0.034424
LBFGS:   40 12:34:39     -163.588362        0.035050
LBFGS:   41 12:34:40     -163.588749        0.032624
LBFGS:   42 12:34:40     -163.589433        0.027216
LBFGS:   43 12:34:40     -163.590499        0.036097
LBFGS:   44 12:34:40     -163.591599        0.032416
LBFGS:   45 12:34:40     -163.592084        0.029231
LBFGS:   46 12:34:40     -163.592343        0.025883
LBFGS:   47 12:34:40     -163.592578        0.021524
LBFGS:   48 12:34:40     -163.593143        0.024750
LBFGS:   49 12:34:40     -163.594056        0.025524
LBFGS:   50 12:34:40     -163.595173        0.024481
LBFGS:   51 12:34:40     -163.595817        0.028142
LBFGS:   52 12:34:41     -163.596074        0.028234
LBFGS:   53 12:34:41     -163.596274        0.025793
LBFGS:   54 12:34:41     -163.596646        0.025405
LBFGS:   55 12:34:41     -163.597262        0.029608
LBFGS:   56 12:34:41     -163.597992        0.031936
LBFGS:   57 12:34:41     -163.598605        0.036808
LBFGS:   58 12:34:41     -163.599092        0.035849
LBFGS:   59 12:34:41     -163.599787        0.031364
LBFGS:   60 12:34:41     -163.601294        0.041026
LBFGS:   61 12:34:41     -163.604193        0.054555
LBFGS:   62 12:34:41     -163.608241        0.056645
LBFGS:   63 12:34:41     -163.611332        0.056084
LBFGS:   64 12:34:41     -163.612879        0.055288
LBFGS:   65 12:34:41     -163.613636        0.047964
LBFGS:   66 12:34:42     -163.614506        0.035019
LBFGS:   67 12:34:42     -163.615772        0.024426
LBFGS:   68 12:34:42     -163.616633        0.020445
LBFGS:   69 12:34:42     -163.616950        0.021911
LBFGS:   70 12:34:42     -163.617064        0.019907
LBFGS:   71 12:34:42     -163.617197        0.016213
LBFGS:   72 12:34:42     -163.617425        0.010350
