       Step     Time          Energy          fmax
LBFGS:    0 12:34:43      -96.865678        0.694179
LBFGS:    1 12:34:43      -96.889568        0.674950
LBFGS:    2 12:34:43      -97.121761        0.547094
LBFGS:    3 12:34:43      -97.132882        0.293349
LBFGS:    4 12:34:43      -97.141041        0.317919
LBFGS:    5 12:34:43      -97.232029        0.381425
LBFGS:    6 12:34:43      -97.262586        0.221002
LBFGS:    7 12:34:43      -97.274738        0.204929
LBFGS:    8 12:34:43      -97.278062        0.182354
LBFGS:    9 12:34:43      -97.286409        0.124238
LBFGS:   10 12:34:43      -97.294182        0.143824
LBFGS:   11 12:34:43      -97.303476        0.114632
LBFGS:   12 12:34:43      -97.308580        0.108487
LBFGS:   13 12:34:43      -97.310203        0.097619
LBFGS:   14 12:34:43      -97.311292        0.087124
LBFGS:   15 12:34:44      -97.314777        0.079490
LBFGS:   16 12:34:44      -97.318569        0.064221
LBFGS:   17 12:34:44      -97.321932        0.061316
LBFGS:   18 12:34:44      -97.323207        0.046193
LBFGS:   19 12:34:44      -97.323563        0.042219
LBFGS:   20 12:34:44      -97.323928        0.038838
LBFGS:   21 12:34:44      -97.324705        0.038182
LBFGS:   22 12:34:44      -97.325771        0.037674
LBFGS:   23 12:34:44      -97.326736        0.035055
LBFGS:   24 12:34:44      -97.327154        0.031191
LBFGS:   25 12:34:44      -97.327316        0.026581
LBFGS:   26 12:34:44      -97.327552        0.022180
LBFGS:   27 12:34:44      -97.327981        0.028117
LBFGS:   28 12:34:45      -97.328572        0.028522
LBFGS:   29 12:34:45      -97.328996        0.023668
LBFGS:   30 12:34:45      -97.329146        0.023922
LBFGS:   31 12:34:45      -97.329222        0.020862
LBFGS:   32 12:34:45      -97.329306        0.016206
LBFGS:   33 12:34:45      -97.329446        0.014375
