       Step     Time          Energy          fmax
LBFGS:    0 07:33:20     -276.691291        0.285843
LBFGS:    1 07:33:20     -276.696441        0.270571
LBFGS:    2 07:33:20     -276.728633        0.192119
LBFGS:    3 07:33:20     -276.730536        0.138135
LBFGS:    4 07:33:20     -276.734419        0.138702
LBFGS:    5 07:33:20     -276.749633        0.152480
LBFGS:    6 07:33:20     -276.774276        0.277561
LBFGS:    7 07:33:20     -276.808828        0.569336
LBFGS:    8 07:33:20     -276.860547        0.760241
LBFGS:    9 07:33:20     -276.894431        0.607662
LBFGS:   10 07:33:20     -276.926125        0.405915
LBFGS:   11 07:33:21     -276.988462        0.523619
LBFGS:   12 07:33:21     -277.059786        0.356893
LBFGS:   13 07:33:21     -277.086376        0.351514
LBFGS:   14 07:33:21     -277.108848        0.296452
LBFGS:   15 07:33:21     -277.116712        0.242957
LBFGS:   16 07:33:21     -277.137270        0.217621
LBFGS:   17 07:33:21     -277.179188        0.186089
LBFGS:   18 07:33:21     -277.199675        0.314003
LBFGS:   19 07:33:21     -277.211348        0.292747
LBFGS:   20 07:33:21     -277.224919        0.237933
LBFGS:   21 07:33:21     -277.239623        0.288167
LBFGS:   22 07:33:21     -277.266479        0.281890
LBFGS:   23 07:33:21     -277.288439        0.325435
LBFGS:   24 07:33:21     -277.322448        0.229380
LBFGS:   25 07:33:21     -277.357931        0.233874
LBFGS:   26 07:33:22     -277.362941        0.171120
LBFGS:   27 07:33:22     -277.377050        0.145205
LBFGS:   28 07:33:22     -277.390798        0.137576
LBFGS:   29 07:33:22     -277.401295        0.164746
LBFGS:   30 07:33:22     -277.406996        0.180980
LBFGS:   31 07:33:22     -277.411586        0.157491
LBFGS:   32 07:33:22     -277.416679        0.105660
LBFGS:   33 07:33:22     -277.423465        0.124454
LBFGS:   34 07:33:22     -277.433975        0.119762
LBFGS:   35 07:33:22     -277.443138        0.145806
LBFGS:   36 07:33:22     -277.447728        0.142914
LBFGS:   37 07:33:22     -277.449873        0.121711
LBFGS:   38 07:33:22     -277.453151        0.102785
LBFGS:   39 07:33:22     -277.458227        0.118522
LBFGS:   40 07:33:23     -277.463894        0.092830
LBFGS:   41 07:33:23     -277.467031        0.081691
LBFGS:   42 07:33:23     -277.468497        0.072534
LBFGS:   43 07:33:23     -277.469327        0.060327
LBFGS:   44 07:33:23     -277.471520        0.051411
LBFGS:   45 07:33:23     -277.474274        0.053642
LBFGS:   46 07:33:23     -277.476536        0.058270
LBFGS:   47 07:33:23     -277.477547        0.062201
LBFGS:   48 07:33:23     -277.478190        0.053527
LBFGS:   49 07:33:23     -277.478894        0.044861
LBFGS:   50 07:33:23     -277.480506        0.053937
LBFGS:   51 07:33:23     -277.482469        0.047064
LBFGS:   52 07:33:23     -277.483943        0.058388
LBFGS:   53 07:33:23     -277.484738        0.060927
LBFGS:   54 07:33:23     -277.485363        0.054071
LBFGS:   55 07:33:24     -277.486406        0.044378
LBFGS:   56 07:33:24     -277.488201        0.048668
LBFGS:   57 07:33:24     -277.490295        0.046068
LBFGS:   58 07:33:24     -277.491704        0.059629
LBFGS:   59 07:33:24     -277.492475        0.057617
LBFGS:   60 07:33:24     -277.493163        0.047785
LBFGS:   61 07:33:24     -277.494189        0.032246
LBFGS:   62 07:33:24     -277.495520        0.031717
LBFGS:   63 07:33:24     -277.496617        0.031334
LBFGS:   64 07:33:24     -277.497122        0.031788
LBFGS:   65 07:33:24     -277.497356        0.028638
LBFGS:   66 07:33:24     -277.497646        0.022639
LBFGS:   67 07:33:24     -277.498104        0.018727
