       Step     Time          Energy          fmax
LBFGS:    0 12:34:59     -156.341124        0.149046
LBFGS:    1 12:34:59     -156.343135        0.135369
LBFGS:    2 12:34:59     -156.352969        0.057686
LBFGS:    3 12:34:59     -156.353384        0.047031
LBFGS:    4 12:35:00     -156.354167        0.046362
LBFGS:    5 12:35:00     -156.355184        0.042833
LBFGS:    6 12:35:00     -156.356012        0.039767
LBFGS:    7 12:35:00     -156.356616        0.046139
LBFGS:    8 12:35:00     -156.357212        0.044263
LBFGS:    9 12:35:00     -156.358166        0.040809
LBFGS:   10 12:35:00     -156.359048        0.039004
LBFGS:   11 12:35:00     -156.359860        0.041492
LBFGS:   12 12:35:00     -156.360467        0.044827
LBFGS:   13 12:35:00     -156.360837        0.038607
LBFGS:   14 12:35:00     -156.361327        0.023146
LBFGS:   15 12:35:01     -156.361767        0.019374
LBFGS:   16 12:35:01     -156.362007        0.024024
LBFGS:   17 12:35:01     -156.362131        0.021572
LBFGS:   18 12:35:01     -156.362252        0.015551
LBFGS:   19 12:35:01     -156.362377        0.011583
